Month,Rice,Filling station,Gas cylinder,Textile,iPhone,Meter,Food,Mental health,Water,Cylinder,Price,Code,Jollof rice,Liter,Pressure,Oil,Emergency telephone number,Drug,Fee,Gambling,Mixture,Gas stove,Food prices,Soup,Kitchen stove,Passport,Cooking,Stove,Charcoal,Rate,Liquid,State,Cost of living,Nigerian cuisine,Gas,Personal identification number,Savings,Cost,Outdoor recreation,Electricity,Clothing,Leisure,Pump,Kerosene heater,Rent,Health,Goods,School,Infinix,Inflation rate,Health care,Temperature,Refurbishment,Fried rice,Investment,Petroleum industry,Flight,Data,Gasoline,Cook,Footwear,Abuja,Bharti Airtel,Electricity meter,Emergency contraception,used,Hyperinflation,Credit,Public health,Recreation,Emergency,Kerosene,Health education,Fuel,Dance,Wealth,Business,Samsung,Sports betting,Printing,Fare,MTN Group,Tecno,Lagos,China,Inflation,Globacom Limited,cheap,Airplane,Deflation,Borehole,State of emergency,Used good,Drinking water,Rechargeable calling card,Tuition payments,Do it yourself,Made In China,Technology,Diesel fuel,Emergency management,Budget,Shoes,Car,Economy,Immigration,University,Import,Health insurance,Ideal gas law,Management,Industry,Unemployment,Natural environment,Monetary policy,Samsung Galaxy,Policy,Drill,Economics,Petroleum,Data plan,Toyota,Tourism,Recipe,Natural gas,Emirates Telecom,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Year-on-Year Change (%)
Nov '11,12.0,28.0,0.0,38.0,26.0,24.0,55.0,26.0,48.0,24.0,32.0,36.0,11.0,28.0,53.0,61.0,0.0,39.0,39.0,1.0,33.0,0.0,0.0,17.0,33.0,42.0,25.0,40.0,60.0,32.0,64.0,26.0,49.0,28.0,48.0,19.0,49.0,79.0,0.0,53.0,61.0,0.0,92.0,0.0,67.0,82.0,57.0,59.0,0.0,49.0,73.0,38.9,56.0,17.0,35.0,22.0,90.0,37.0,37.0,9.0,55.0,67.2,37.0,0.0,0.0,58.0,0.0,79.0,61.0,78.0,13.0,63.0,73.0,8.0,36.0,20.0,85.0,59.3,2.0,51.0,58.0,69.0,8.0,83.0,51.0,75.0,61.0,75.0,7.0,0.0,47.0,0.0,37.0,38.0,66.0,45.6,29.0,43.0,85.4,91.0,71.0,42.2,93.0,84.0,74.0,14.0,64.0,77.0,26.0,63.0,87.0,82.0,69.0,79.0,62.2,43.0,75.0,86.0,58.0,67.0,14.0,85.8,88.0,51.0,64.0,96.4,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,10.540005105306475
Dec '11,10.0,19.0,15.7,27.0,19.0,19.0,39.0,21.0,39.0,15.0,26.0,30.0,13.0,24.0,40.0,48.0,0.0,33.0,40.0,1.0,30.0,30.0,0.0,16.0,26.0,27.0,21.0,21.0,33.0,25.0,42.0,26.0,57.0,16.0,32.0,17.0,41.0,64.0,0.0,40.0,42.0,14.0,64.0,0.0,43.0,62.0,39.0,49.0,0.0,28.0,54.0,29.9,0.0,38.0,23.0,16.0,61.0,31.0,31.0,9.0,87.0,63.4,43.0,0.0,42.0,46.0,0.0,65.0,45.0,43.0,23.0,51.0,39.0,10.0,32.0,16.0,61.0,56.1,2.0,30.0,55.0,62.0,7.0,59.0,39.0,59.0,68.0,60.0,5.0,0.0,26.0,16.0,0.0,23.0,81.0,35.6,25.0,28.0,60.3,50.0,27.0,63.3,71.0,66.0,56.0,9.0,52.0,52.0,17.0,23.0,53.0,60.0,50.0,48.0,49.4,38.0,49.0,68.0,47.0,52.0,19.0,75.8,54.0,38.0,44.0,86.8,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,10.283025958087478
Jan '12,8.0,21.0,13.5,23.0,18.0,16.0,39.0,21.0,34.0,16.0,37.0,27.0,0.0,60.0,32.0,58.0,0.0,35.0,36.0,0.5,33.0,25.0,0.0,16.0,27.0,29.0,21.0,29.0,38.0,24.0,45.0,35.0,58.0,24.0,35.0,17.0,37.0,68.0,0.0,38.0,40.0,15.0,78.0,0.0,42.0,60.0,40.0,53.0,0.0,40.0,48.0,25.9,47.0,16.0,19.0,28.0,48.0,26.0,100.0,10.0,69.0,46.4,36.0,0.0,54.0,43.0,0.0,58.0,54.0,49.0,35.0,63.0,45.0,100.0,26.0,15.0,55.0,48.9,2.0,30.0,56.0,53.0,7.0,57.0,35.0,51.0,65.0,56.0,6.0,18.0,34.0,31.0,20.0,20.0,97.0,37.8,27.0,49.0,56.3,58.0,26.0,73.8,55.0,55.0,53.0,12.0,48.0,50.0,19.0,50.0,44.0,55.0,37.0,42.0,30.6,32.0,43.0,60.0,41.0,76.0,17.0,67.8,50.0,36.0,46.0,81.0,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,12.62596924006003
Feb '12,10.0,25.0,12.4,30.0,17.0,24.0,50.0,38.0,50.0,22.0,25.0,26.0,7.0,24.0,54.0,57.0,0.0,41.0,43.0,1.0,46.0,18.0,0.0,18.0,26.0,30.0,21.0,26.0,35.0,26.0,70.0,35.0,40.0,25.0,51.0,19.0,65.0,74.0,0.0,55.0,45.0,22.0,62.0,0.0,44.0,77.0,67.0,59.0,0.0,38.0,68.0,42.9,47.0,20.0,25.0,23.0,47.0,36.0,33.0,11.0,51.0,53.0,33.0,0.0,0.0,52.0,0.0,67.0,58.0,71.0,14.0,57.0,70.0,18.0,31.0,15.0,75.0,47.8,2.0,35.0,47.0,51.0,6.0,58.0,39.0,82.0,58.0,56.0,5.0,39.0,46.0,0.0,20.0,30.0,85.0,34.5,25.0,40.0,74.3,64.0,46.0,50.8,58.0,61.0,78.0,13.0,48.0,62.0,23.0,60.0,73.0,75.0,71.0,79.0,61.2,31.0,67.0,82.0,65.0,60.0,16.0,71.8,68.0,36.0,57.0,74.2,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,11.865685986505454
Mar '12,11.0,20.0,11.2,29.0,16.0,23.0,49.0,34.0,55.0,27.0,24.0,27.0,13.0,24.0,58.0,52.0,0.0,43.0,28.0,1.0,53.0,0.0,0.0,17.0,26.0,27.0,20.0,41.0,32.0,26.0,69.0,39.0,49.0,23.0,56.0,17.0,58.0,78.0,0.0,53.0,42.0,18.0,60.0,0.0,46.0,76.0,69.0,56.0,0.0,45.0,79.0,49.9,38.0,22.0,26.0,23.0,45.0,41.0,32.0,11.0,39.0,45.4,42.0,0.0,0.0,57.0,0.0,65.0,53.0,75.0,14.0,60.0,87.0,12.0,33.0,18.0,82.0,46.8,2.0,35.0,47.0,50.0,6.0,55.0,38.0,79.0,57.0,52.0,7.0,29.0,45.0,3.0,23.0,35.0,83.0,23.3,25.0,36.0,75.3,55.0,53.0,56.6,55.0,58.0,88.0,13.0,39.0,61.0,23.0,88.0,77.0,77.0,87.0,87.0,82.0,37.0,89.0,76.0,77.0,55.0,19.0,68.8,74.0,32.0,49.0,83.9,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,12.110898601245552
Apr '12,10.0,18.0,15.7,27.0,16.0,21.0,50.0,29.0,49.0,22.0,24.0,26.0,13.0,22.0,53.0,47.0,0.0,42.0,33.0,1.0,53.0,20.0,100.0,17.0,23.0,23.0,21.0,34.0,46.0,28.0,68.0,33.0,40.0,22.0,51.0,19.0,52.0,79.0,0.0,51.0,39.0,24.0,63.0,0.0,45.0,71.0,67.0,59.0,0.0,40.0,65.0,40.9,37.0,19.0,25.0,21.0,45.0,38.0,28.0,11.0,49.0,53.9,35.0,0.0,0.0,52.0,0.0,66.0,49.0,59.0,13.0,93.0,67.0,9.0,35.0,16.0,76.0,46.8,2.0,33.0,45.0,79.0,7.0,54.0,35.0,82.0,51.0,54.0,6.0,34.0,45.0,0.0,0.0,30.0,90.0,27.8,23.0,21.0,73.3,54.0,34.0,49.9,57.0,60.0,100.0,11.0,44.0,56.0,17.0,72.0,73.0,72.0,65.0,76.0,59.3,34.0,82.0,69.0,100.0,54.0,20.0,67.8,63.0,30.0,51.0,77.1,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.86566161133969
May '12,11.0,16.0,9.0,26.0,15.0,24.0,48.0,29.0,59.0,28.0,25.0,28.0,9.0,26.0,56.0,54.0,0.0,46.0,31.0,1.0,37.0,15.0,0.0,19.0,29.0,24.0,20.0,38.0,44.0,26.0,81.0,37.0,44.0,23.0,51.0,17.0,56.0,74.0,0.0,60.0,41.0,21.0,62.0,0.0,45.0,78.0,65.0,65.0,0.0,48.0,74.0,47.9,22.0,14.0,25.0,15.0,43.0,37.0,28.0,10.0,63.0,45.4,37.0,0.0,0.0,57.0,0.0,72.0,53.0,75.0,13.0,43.0,70.0,7.0,35.0,17.0,76.0,49.9,2.0,33.0,44.0,65.0,7.0,62.0,36.0,79.0,55.0,50.0,6.0,20.0,52.0,0.0,19.0,30.0,87.0,28.9,24.0,22.0,71.3,54.0,42.0,51.8,56.0,58.0,84.0,10.0,47.0,54.0,19.0,64.0,72.0,76.0,73.0,80.0,67.2,42.0,83.0,78.0,69.0,52.0,18.0,64.8,68.0,34.0,56.0,65.6,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,12.688297513444653
Jun '12,11.0,23.0,0.0,27.0,15.0,21.0,44.0,22.0,50.0,21.0,25.0,26.0,9.0,22.0,45.0,48.0,0.0,43.0,33.0,1.0,65.0,22.0,0.0,18.0,29.0,26.0,19.0,38.0,40.0,29.0,71.0,38.0,49.0,23.0,47.0,20.0,64.0,68.0,0.0,54.0,41.0,22.0,55.0,0.0,51.0,75.0,57.0,57.0,0.0,30.0,91.0,53.9,35.0,14.0,24.0,21.0,41.0,37.0,24.0,11.0,36.0,50.1,36.0,0.0,0.0,55.0,0.0,62.0,42.0,84.0,17.0,62.0,74.0,7.0,33.0,17.0,69.0,52.0,2.0,32.0,34.0,56.0,7.0,77.0,37.0,84.0,52.0,48.0,100.0,26.0,44.0,5.0,16.0,23.0,81.0,28.9,26.0,26.0,70.3,52.0,47.0,43.2,50.0,57.0,77.0,10.0,58.0,50.0,20.0,78.0,67.0,74.0,85.0,73.0,57.3,53.0,76.0,54.0,72.0,47.0,22.0,60.8,54.0,33.0,48.0,85.8,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.891980921908797
Jul '12,10.0,13.0,10.1,26.0,18.0,21.0,47.0,28.0,47.0,24.0,28.0,30.0,10.0,23.0,48.0,46.0,0.0,41.0,35.0,1.0,48.0,23.0,0.0,22.0,30.0,25.0,21.0,27.0,37.0,27.0,71.0,35.0,53.0,20.0,45.0,19.0,51.0,73.0,0.0,54.0,41.0,17.0,60.0,0.0,51.0,73.0,53.0,63.0,0.0,42.0,82.0,41.9,25.0,22.0,29.0,23.0,43.0,39.0,30.0,10.0,36.0,53.9,39.0,30.0,0.0,54.0,0.0,60.0,49.0,64.0,15.0,49.0,62.0,5.0,35.0,16.0,72.0,58.2,2.0,31.0,50.0,68.0,8.0,59.0,38.0,90.0,59.0,57.0,9.0,42.0,41.0,3.0,15.0,27.0,83.0,30.0,22.0,27.0,68.3,56.0,44.0,43.2,59.0,63.0,71.0,10.0,49.0,59.0,19.0,54.0,65.0,74.0,63.0,69.0,77.0,65.0,69.0,69.0,53.0,50.0,26.0,66.8,62.0,37.0,51.0,86.8,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,9.397383392996446,12.796876731112206
Aug '12,9.0,18.0,0.0,30.0,18.0,25.0,45.0,21.0,45.0,20.0,28.0,30.0,13.0,20.0,51.0,45.0,0.0,39.0,37.0,1.0,42.0,24.0,0.0,21.0,36.0,27.0,23.0,37.0,40.0,25.0,50.0,31.0,43.0,24.0,40.0,20.0,57.0,68.0,0.0,47.0,44.0,0.0,63.0,0.0,50.0,68.0,46.0,57.0,0.0,28.0,74.0,32.9,37.0,22.0,28.0,19.0,43.0,36.0,25.0,11.0,53.0,48.2,40.0,0.0,0.0,48.0,0.0,63.0,36.0,69.0,11.0,43.0,60.0,5.0,33.0,15.0,68.0,63.4,2.0,33.0,41.0,64.0,8.0,61.0,40.0,73.0,51.0,57.0,7.0,22.0,38.0,0.0,19.0,27.0,100.0,31.1,24.0,27.0,69.3,48.0,45.0,41.2,57.0,59.0,60.0,10.0,44.0,54.0,19.0,40.0,62.0,77.0,65.0,65.0,67.2,69.0,68.0,75.0,44.0,43.0,26.0,61.8,59.0,36.0,47.0,70.4,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,9.300722795317114,11.689272346301578
Sep '12,12.0,18.0,13.5,30.0,27.0,23.0,44.0,28.0,51.0,16.0,29.0,32.0,9.0,23.0,50.0,54.0,0.0,43.0,46.0,1.0,42.0,18.0,0.0,25.0,33.0,26.0,24.0,33.0,46.0,25.0,52.0,34.0,34.0,22.0,50.0,19.0,53.0,71.0,0.0,62.0,48.0,14.0,68.0,0.0,51.0,79.0,57.0,66.0,0.0,51.0,80.0,34.9,27.0,18.0,27.0,18.0,49.0,44.0,26.0,12.0,47.0,54.9,42.0,33.0,0.0,60.0,0.0,66.0,46.0,66.0,13.0,49.0,100.0,5.0,41.0,15.0,72.0,64.5,3.0,35.0,44.0,69.0,8.0,60.0,41.0,96.0,50.0,61.0,8.0,21.0,40.0,0.0,13.0,30.0,91.0,32.2,24.0,19.0,73.3,59.0,41.0,39.3,58.0,62.0,69.0,10.0,45.0,51.0,20.0,59.0,65.0,70.0,62.0,76.0,71.1,66.0,79.0,66.0,56.0,52.0,30.0,62.8,59.0,38.0,48.0,71.4,11.689272346301578,12.796876731112206,12.891980921908797,12.688297513444653,12.86566161133969,12.110898601245552,11.865685986505454,12.62596924006003,10.283025958087478,10.540005105306475,10.544448402559452,10.339031848420888,11.252990731920832
