Region,Leisure,Liquid,Rent,Price,Kerosene heater,Public health,Mixture,Gas cylinder,Filling station,State of emergency,Gasoline,Pressure,Petroleum industry,Lagos,Tecno,Drug,Flight,Made In China,Emergency management,Cooking,Management,Gas,Nigerian cuisine,Hyperinflation,Recreation,Fare,Meter,Cost,Import,Personal identification number,Natural environment,Unemployment,Natural gas,Credit,Printing,Economics,Recipe,Ideal gas law,Emirates Telecom,Pump,Rice,Code,Petroleum,used,Globacom Limited,Used good,Textile,Savings,Electricity meter,Data plan,Oil,Emergency,Bharti Airtel,Wealth,Drill,Rechargeable calling card,Stove,Dance,Policy,iPhone,China,Clothing,Investment,Economy,Refurbishment,Drinking water,MTN Group,Fried rice,Food prices,Cylinder,Footwear,Gas stove,Inflation rate,Car,Health,Jollof rice,Water,Emergency contraception,Data,Temperature,Outdoor recreation,Diesel fuel,Kitchen stove,Charcoal,Deflation,Health education,Liter,Business,Inflation,Borehole,Fuel,Industry,Health care,Passport,Tourism,Immigration,Sports betting,State,Abuja,Gambling,Do it yourself,Fee,Monetary policy,Infinix,Cook,Technology,Electricity,School,Kerosene,Samsung Galaxy,Airplane,University,Goods,Toyota,Food,Rate,Cost of living,Samsung,cheap,Health insurance,Tuition payments,Shoes,Budget,Mental health,Soup,Emergency telephone number
Lagos,77,61,68,52,32.0,20,54,39,45,61.0,51,53,39,95,58,49,78,49.0,17,57,54,57,46,27.0,24,54,48,71,79,45,37,70,97,70,54,51,60,28,100,63,48,51,55,41,55,79.0,50,50,22.0,100,63,33,80,74,67,44,41.0,87,43,55,38,74,33,59,60.0,67,63,77,31.0,47,53.0,61,59.0,83,41,66,60,40.0,49,48,36.0,59,53,47,33.0,26,49,24,65,18,52,74,27,64,32,37,80,48,12,39,93,47,47,48,51,38,48,68,49,57,90,52,62,78,64,60,56.0,42,62,24,40,73,44,36,52,46.0
Cross River,76,74,29,72,,49,79,66,43,73.0,44,86,37,31,81,88,81,40.0,30,67,74,73,72,38.0,36,74,55,79,66,83,72,70,76,59,70,78,56,66,62,69,61,66,54,82,50,47.0,55,56,30.0,79,87,42,78,55,70,75,57.0,77,65,61,32,82,44,83,74.0,96,83,80,,59,45.0,62,63.0,75,79,67,86,75.0,59,59,79.0,57,63,61,42.0,46,55,39,70,30,85,76,52,49,100,44,69,73,14,62,84,50,61,61,62,48,68,76,69,60,66,61,65,85,76,78,65.0,50,72,25,46,67,58,80,73,46.0
Nasarawa,76,70,49,86,89.0,47,70,72,40,61.0,43,64,27,24,79,71,80,18.0,33,65,74,68,78,66.0,38,65,75,83,71,93,61,71,39,61,78,78,59,40,38,62,70,80,34,74,64,72.0,57,60,52.0,63,78,41,83,56,75,75,67.0,82,62,65,35,77,53,82,74.0,75,76,79,70.0,72,50.0,85,86.0,80,71,73,81,56.0,67,57,86.0,56,75,78,34.0,39,63,39,74,46,68,73,40,53,35,47,73,73,100,75,81,72,58,75,57,49,70,80,57,62,71,82,71,75,76,73,68.0,63,80,27,54,70,67,63,67,63.0
Bayelsa,75,84,35,86,,43,85,88,47,52.0,57,85,100,27,88,77,79,,31,66,69,82,85,,25,72,60,98,70,79,60,69,91,63,73,72,52,58,24,77,57,84,100,68,75,65.0,50,59,20.0,60,93,49,78,72,79,70,62.0,74,53,75,28,82,64,68,87.0,87,81,78,,67,43.0,73,41.0,70,69,77,87,77.0,55,61,63.0,98,65,62,28.0,38,76,38,74,30,77,75,53,54,33,31,91,71,12,79,86,67,55,73,62,40,54,70,92,66,76,69,73,69,73,82,91.0,61,68,35,50,67,60,74,78,32.0
Bauchi,75,78,59,81,,85,69,53,34,100.0,46,85,36,20,70,65,49,,42,36,90,66,39,,38,45,66,58,64,77,75,90,57,52,88,75,43,68,29,71,63,75,53,50,41,62.0,36,59,53.0,48,64,51,82,48,96,59,57.0,60,73,49,30,40,39,96,58.0,80,75,52,,61,28.0,56,66.0,63,92,42,76,70.0,71,80,,59,56,69,36.0,78,65,34,90,43,73,81,71,40,37,49,61,70,23,35,53,57,95,84,26,63,77,69,51,63,67,67,64,57,59,63,41.0,67,42,21,47,50,92,61,33,57.0
Ebonyi,74,100,34,80,,49,93,87,47,55.0,38,86,25,26,78,100,77,,23,80,73,69,89,,25,64,68,80,77,86,56,80,44,59,75,80,42,60,19,72,80,89,37,100,49,74.0,56,62,19.0,57,85,53,83,62,71,77,54.0,69,57,76,42,83,62,79,75.0,98,78,92,,73,90.0,64,50.0,76,88,91,93,92.0,62,76,70.0,48,62,71,31.0,56,74,42,84,38,70,77,59,63,31,33,60,87,12,79,67,65,70,74,84,48,64,81,80,52,84,59,78,64,90,92,73.0,57,73,27,49,51,64,84,79,63.0
Taraba,68,75,20,72,,100,78,51,37,73.0,41,62,27,15,78,71,49,,43,40,76,61,44,,29,53,49,59,50,94,73,90,32,50,97,87,33,45,22,58,65,72,35,49,26,,37,54,,42,46,43,78,53,64,86,35.0,61,77,45,26,50,47,98,45.0,79,65,36,,49,35.0,66,69.0,49,79,39,65,56.0,58,66,,43,63,60,57.0,67,57,32,72,33,70,71,58,34,38,52,71,73,15,77,37,46,63,68,28,46,64,66,40,71,64,100,74,65,64,56,41.0,57,39,22,40,43,75,76,40,
Ondo,68,82,52,91,,45,91,84,91,40.0,75,90,22,41,73,86,96,33.0,22,66,62,90,70,47.0,33,72,76,83,80,73,61,73,40,87,78,60,43,60,20,64,69,95,37,85,81,53.0,88,55,27.0,58,76,41,76,65,75,57,72.0,64,45,95,30,86,36,57,86.0,85,85,98,41.0,86,64.0,77,60.0,94,71,96,87,67.0,70,83,54.0,55,71,70,34.0,38,73,34,57,31,71,83,46,84,34,37,68,90,11,65,79,98,37,78,60,58,79,91,73,60,94,88,67,93,93,91,93.0,65,100,23,98,75,50,70,55,100.0
Kano,66,65,23,100,,47,60,49,35,70.0,48,80,29,23,67,63,83,73.0,33,48,61,75,54,44.0,29,47,65,52,76,69,62,50,48,50,87,66,82,54,55,69,83,75,44,45,33,99.0,46,47,34.0,61,77,44,95,57,67,50,62.0,59,59,71,47,52,35,71,68.0,65,74,50,57.0,58,27.0,66,65.0,76,74,43,74,48.0,68,83,51.0,68,73,70,33.0,60,77,35,63,41,71,76,60,52,27,50,27,53,21,36,76,57,42,96,31,56,67,66,47,78,81,63,59,74,69,75,56.0,86,50,21,44,69,61,58,32,53.0
Plateau,64,73,32,87,,52,72,80,32,72.0,45,90,24,22,72,87,70,33.0,33,57,79,69,91,87.0,35,64,84,80,75,66,60,76,47,50,72,76,100,39,34,71,71,68,35,63,50,88.0,57,54,36.0,61,83,50,74,56,78,63,100.0,84,73,57,32,73,48,85,73.0,86,78,72,55.0,69,50.0,90,95.0,80,78,72,83,100.0,67,86,65.0,54,85,96,28.0,38,74,37,79,37,76,83,52,43,41,35,68,69,26,55,100,51,66,72,50,48,74,76,75,62,69,69,63,87,75,82,74.0,64,58,32,51,100,79,87,59,50.0
Jigawa,63,72,16,80,,93,73,44,28,,43,76,21,17,72,69,45,,49,34,77,65,28,,21,47,66,50,78,84,100,73,45,62,100,86,32,75,21,57,80,89,45,45,41,,30,100,,45,52,58,81,46,42,80,46.0,50,75,44,33,35,38,98,96.0,73,80,32,,50,,33,84.0,49,99,30,66,66.0,73,79,,60,40,57,,74,62,30,80,31,66,64,91,53,18,94,26,61,16,30,38,59,100,95,21,72,68,77,63,70,63,73,55,44,53,63,49.0,69,38,26,47,38,87,69,25,
Federal Capital Territory,61,55,53,53,32.0,32,50,39,37,65.0,42,51,31,29,57,52,83,44.0,28,49,61,51,52,27.0,26,48,45,59,71,51,45,68,81,50,57,60,61,29,86,55,50,45,50,35,53,69.0,43,40,26.0,88,62,35,62,68,64,48,40.0,83,55,46,43,62,34,64,56.0,64,59,65,44.0,43,35.0,54,49.0,79,53,56,57,35.0,46,45,43.0,50,54,50,31.0,33,51,26,64,25,55,70,35,50,33,44,69,51,93,42,85,40,55,49,47,40,52,59,41,49,81,57,55,75,60,60,55.0,41,63,26,39,69,60,43,52,36.0
Rivers,61,70,41,66,53.0,24,55,59,42,52.0,52,75,71,26,73,59,78,54.0,20,68,53,76,63,21.0,19,42,65,68,65,74,45,50,99,55,51,51,53,27,31,82,58,68,72,52,49,64.0,52,47,26.0,71,78,38,55,95,80,49,44.0,85,37,66,39,70,53,49,68.0,74,67,77,44.0,51,46.0,65,42.0,79,50,69,68,41.0,47,55,45.0,74,57,52,28.0,30,63,29,47,17,64,63,29,50,29,27,74,54,10,69,94,40,30,68,70,33,56,67,52,50,87,42,61,68,72,72,54.0,51,60,22,37,64,41,48,71,43.0
Adamawa,60,73,25,93,,54,62,59,25,88.0,48,69,31,21,85,69,79,,44,45,97,64,50,,32,53,64,74,71,100,76,100,61,57,94,100,48,42,28,84,66,72,51,48,36,54.0,40,62,40.0,55,61,57,82,62,83,65,41.0,65,80,63,28,49,42,97,68.0,69,76,41,,61,13.0,71,84.0,67,73,45,75,46.0,73,75,,62,65,53,44.0,63,74,40,95,50,83,79,64,39,29,51,52,66,23,62,59,43,89,76,34,66,73,65,54,93,83,70,81,71,64,74,59.0,71,45,22,45,59,91,77,34,42.0
Borno,60,72,23,96,,54,63,60,27,81.0,50,82,26,21,87,71,83,63.0,100,40,100,65,44,,37,39,60,53,67,80,72,66,64,49,84,61,40,60,24,91,44,76,46,43,28,67.0,35,47,31.0,46,63,100,90,67,90,52,53.0,53,68,57,32,38,42,66,74.0,98,69,33,,56,18.0,80,59.0,74,97,35,84,44.0,68,100,,69,66,77,32.0,100,82,34,65,100,80,62,77,43,22,53,56,64,24,62,40,35,51,100,40,48,64,53,41,100,82,56,64,73,69,77,48.0,100,39,26,32,52,94,96,31,45.0
Benue,58,84,25,73,,44,76,67,37,79.0,42,65,19,22,85,86,49,,38,47,79,61,55,,31,68,54,83,63,93,65,75,39,54,89,75,44,70,24,58,76,75,32,66,69,65.0,45,58,23.0,61,67,45,80,56,70,84,63.0,81,54,52,27,75,47,81,37.0,83,76,59,53.0,62,89.0,70,45.0,65,71,64,81,76.0,59,65,76.0,48,68,67,22.0,43,64,34,65,37,81,74,48,41,24,35,100,75,24,100,61,82,62,71,38,50,69,81,78,52,64,77,60,85,84,70,66.0,41,50,25,60,52,62,67,50,36.0
Gombe,56,72,24,80,,76,63,74,29,59.0,44,79,29,17,64,76,55,100.0,41,37,75,66,56,,29,44,70,53,68,95,80,96,50,64,87,88,44,60,36,76,66,83,51,42,47,72.0,42,59,40.0,61,56,60,88,50,93,56,65.0,65,76,45,30,49,43,100,56.0,71,77,39,,55,40.0,68,79.0,56,91,45,76,68.0,71,73,,42,69,68,,65,71,36,92,53,70,74,85,32,22,55,34,69,21,43,56,46,77,73,33,56,77,64,37,65,72,81,64,65,61,69,66.0,62,45,23,44,56,91,77,33,58.0
Katsina,55,72,13,86,,70,72,38,25,61.0,47,64,24,16,65,63,42,,55,30,77,60,42,,31,38,56,43,60,75,73,96,37,49,93,91,45,59,26,56,55,79,46,43,32,35.0,33,51,41.0,47,51,60,85,44,58,60,46.0,54,72,57,29,36,35,93,50.0,73,79,48,,44,29.0,37,55.0,57,85,39,74,60.0,65,77,90.0,47,48,63,42.0,89,55,31,95,33,61,68,78,33,23,68,31,59,19,35,47,66,78,93,29,67,57,72,50,64,69,67,58,52,62,56,36.0,79,37,17,48,49,69,66,24,63.0
Zamfara,53,71,17,76,,74,64,37,18,,39,77,26,17,69,69,43,,41,29,64,53,34,,17,38,53,46,48,73,67,58,31,61,72,72,29,51,27,60,50,71,39,43,35,,32,51,,37,53,62,72,48,76,42,38.0,47,66,41,27,38,39,85,,69,64,39,,42,,58,,49,76,35,60,63.0,63,70,,46,64,67,,64,54,29,61,31,66,64,71,31,17,60,53,68,16,57,50,48,69,72,23,55,65,61,66,68,55,57,58,50,52,63,,51,32,18,37,45,75,68,22,
Kebbi,50,70,20,79,,73,71,59,34,85.0,58,83,29,18,72,68,60,,37,34,71,69,49,,100,52,58,54,59,81,72,64,56,56,87,72,39,100,26,84,100,76,45,46,41,,38,52,81.0,44,58,44,70,57,66,62,48.0,64,63,51,33,48,39,87,,77,74,43,,64,33.0,62,85.0,57,81,29,72,52.0,73,84,,72,67,80,,68,64,32,74,36,73,79,72,46,21,59,49,68,20,44,44,48,57,72,24,50,84,63,64,68,70,53,64,71,56,68,35.0,59,38,13,37,43,86,62,31,
Yobe,43,71,46,91,,82,62,51,29,,47,73,29,16,72,59,39,,69,32,99,62,27,,29,35,54,61,56,90,90,77,59,50,91,82,29,51,11,68,50,84,47,41,23,76.0,31,66,,44,47,86,77,56,83,37,,49,100,41,37,34,100,97,,69,74,21,,40,33.0,75,100.0,83,100,30,66,,100,96,,64,62,66,100.0,76,68,100,100,68,68,69,100,35,21,100,38,71,14,43,32,44,86,88,34,100,80,67,49,78,64,67,59,61,53,71,43.0,75,54,100,37,41,100,71,22,89.0
Sokoto,34,79,21,76,,59,83,44,29,81.0,44,83,29,19,57,84,67,74.0,49,40,76,69,53,,24,40,47,50,61,69,60,56,47,55,73,68,51,63,45,64,66,72,45,52,32,83.0,37,44,,55,59,61,74,51,46,49,81.0,57,69,56,30,45,37,78,60.0,77,73,47,,50,34.0,56,71.0,59,75,49,79,58.0,61,94,,49,57,69,,52,64,30,79,33,75,67,76,36,17,46,37,63,23,42,65,37,50,70,40,45,68,60,55,60,74,60,63,63,57,59,36.0,61,41,16,41,52,85,82,33,43.0
